"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0031081",15.2797062893127,1.68399935966935,0.276367401446335,6.09333572214504,1.10581809598301e-09,5.55800385490648e-09
"FBgn0052826",0,NA,NA,NA,NA,NA
"FBgn0031085",0.506120771046485,2.22524111901277,1.86311141271779,1.19436825077826,0.232333950533686,0.31692862417971
"FBgn0062565",0,NA,NA,NA,NA,NA
"FBgn0031088",0.714163636652398,-1.01459949702552,1.49948934864543,-0.676630012705369,0.498640731814142,0.590492953065302
"FBgn0041626",0,NA,NA,NA,NA,NA
"FBgn0040784",0.546740599943596,0.838003860911489,1.56122420523851,0.536760740769751,0.591432893224612,0.672205302505748
"FBgn0031086",0.341989941999304,-0.0212892683555433,2.09981548089699,-0.0101386376799399,0.991910676114101,NA
"FBgn0031082",0.0777708456562393,-0.398223206891707,3.02235747083076,-0.131759135289264,0.895174809990029,NA
"FBgn0031080",0.464798347390025,-1.31346478419444,2.22523712636289,-0.590258345339257,0.55501746117271,0.641258720042486
"FBgn0052821",0,NA,NA,NA,NA,NA
"FBgn0053217",18.2390628689307,0.421240421590547,0.336679947558125,1.25115981704798,0.210876175353029,0.292181736049819
"FBgn0052350",29.594604806146,0.440880500522233,0.235570609947893,1.87154289161858,0.061269870584552,0.100778580793163
"FBgn0024733",2458.97130013222,0.739093983980478,0.126684960162299,5.83410992933658,5.40784605482592e-09,2.55180695528727e-08
"FBgn0040372",168.631569951187,-1.22548049169905,0.117056221256891,-10.4691615579288,1.19698472561368e-25,1.68093926856839e-24
"FBgn0000316",28.8065204446306,-0.329660662601433,0.216210581380915,-1.52472030044008,0.127328876123191,0.190368277625977
"FBgn0024989",45.9219166231671,2.70385557351406,0.553041653888554,4.8890631555556,1.01316989893315e-06,3.76081995406462e-06
"FBgn0040371",0.49829832358171,2.01407164197182,1.69810137368067,1.18607267692522,0.23559359968574,0.320707052462849
"FBgn0029521",1.75264290652293,0.458185861314366,1.14221309417031,0.401138687389316,0.688318018803234,0.757718464934915
"FBgn0004034",1.23635264878255,-0.451753254001841,1.08644109382478,-0.41581016823605,0.677548917676475,0.749007685688177
"FBgn0000022",0.562300424543185,-1.67167664867508,1.24941815759066,-1.33796410634747,0.180908137752245,0.257130766458524
"FBgn0004170",1.49776052271908,0.395311417018905,0.864187459668539,0.457437113436624,0.647356893492586,0.72253064278451
"FBgn0002561",2.25971793674452,1.6531819810057,1.00242545288144,1.64918196784976,0.0991103610066434,0.153118325845046
"FBgn0000137",5.54890207457439,2.73838206233479,0.564847305889383,4.84800411329405,1.2470981580416e-06,4.5741235537053e-06
"FBgn0029522",0,NA,NA,NA,NA,NA
"FBgn0052817",0.041863995303367,0.0775965428252089,3.02573163259783,0.0256455470105873,0.979540056742086,NA
"FBgn0029524",0.43067067700656,0.885382903644672,1.82560722916438,0.484979950506622,0.627690567724783,NA
"FBgn0023536",11.8900026224055,0.398111654797425,0.272361776996296,1.46170163518517,0.143822988971038,0.211389868221909
"FBgn0023534",1.92075833451734,1.16495739602617,0.951679196119609,1.22410724199519,0.220911774445056,0.304110291986702
"FBgn0023535",1.2716908904418,-0.603177634537129,0.878380425678698,-0.686692937255599,0.492276248589421,0.584536525147839
"FBgn0023537",42.9466739084645,-1.89733579275207,0.227320148612655,-8.3465359508675,7.02942512642059e-17,5.94711681330504e-16
